,AOU,scientific_name,common_name
203,2555,Tringa melanoleuca / flavipes,unid. Greater Yellowlegs / Lesser Yellowlegs
204,2580,Tringa semipalmata,Willet
205,2530,Tringa nebularia,Common Greenshank
206,2540,Tringa melanoleuca,Greater Yellowlegs
207,2240,Phalaropus tricolor,Wilson's Phalarope
208,2230,Phalaropus lobatus,Red-necked Phalarope
209,360,Stercorarius pomarinus,Pomarine Jaeger
210,370,Stercorarius parasiticus,Parasitic Jaeger
211,380,Stercorarius longicaudus,Long-tailed Jaeger
212,300,Uria aalge,Common Murre
213,310,Uria lomvia,Thick-billed Murre
214,315,Uria aalge / lomvia,unid. Common Murre / Thick-billed Murre
215,320,Alca torda,Razorbill
216,270,Cepphus grylle,Black Guillemot
217,290,Cepphus columba,Pigeon Guillemot
218,230,Brachyramphus marmoratus,Marbled Murrelet
219,240,Brachyramphus brevirostris,Kittlitz's Murrelet
220,210,Synthliboramphus antiquus,Ancient Murrelet
221,160,Ptychoramphus aleuticus,Cassin's Auklet
222,150,Cerorhinca monocerata,Rhinoceros Auklet
223,140,Fratercula corniculata,Horned Puffin
224,120,Fratercula cirrhata,Tufted Puffin
225,400,Rissa tridactyla,Black-legged Kittiwake
226,620,Xema sabini,Sabine's Gull
227,600,Chroicocephalus philadelphia,Bonaparte's Gull
228,551,Chroicocephalus ridibundus,Black-headed Gull
229,601,Hydrocoloeus minutus,Little Gull
230,610,Rhodostethia rosea,Ross's Gull
231,580,Leucophaeus atricilla,Laughing Gull
232,590,Leucophaeus pipixcan,Franklin's Gull
233,570,Larus heermanni,Heermann's Gull
234,550,Larus canus,Mew Gull
235,540,Larus delawarensis,Ring-billed Gull
236,490,Larus occidentalis,Western Gull
237,530,Larus californicus,California Gull
238,510,Larus argentatus,Herring Gull
239,430,Larus glaucoides,Iceland Gull
240,500,Larus fuscus,Lesser Black-backed Gull
241,480,Larus schistisagus,Slaty-backed Gull
242,440,Larus glaucescens,Glaucous-winged Gull
243,495,Larus occidentalis x glaucescens,hybrid Western Gull x Glaucous-winged Gull
244,420,Larus hyperboreus,Glaucous Gull
245,470,Larus marinus,Great Black-backed Gull
246,534,Gull sp.,unid. gull
247,730,Onychoprion aleuticus,Aleutian Tern
248,740,Sternula antillarum,Least Tern
249,630,Gelochelidon nilotica,Gull-billed Tern
250,640,Hydroprogne caspia,Caspian Tern
251,770,Chlidonias niger,Black Tern
252,720,Sterna dougallii,Roseate Tern
253,700,Sterna hirundo,Common Tern
254,710,Sterna paradisaea,Arctic Tern
255,690,Sterna forsteri,Forster's Tern
256,650,Thalasseus maximus,Royal Tern
257,670,Thalasseus sandvicensis,Sandwich Tern
258,660,Thalasseus elegans,Elegant Tern
259,634,Tern sp.,unid. tern
260,800,Rynchops niger,Black Skimmer
261,110,Gavia stellata,Red-throated Loon
262,90,Gavia arctica,Arctic Loon
263,100,Gavia pacifica,Pacific Loon
264,70,Gavia immer,Common Loon
265,80,Gavia adamsii,Yellow-billed Loon
266,77,Gavia sp.,unid. loon
267,1060,Hydrobates leucorhous,Leach's Storm-Petrel
268,860,Fulmarus glacialis,Northern Fulmar
269,880,Calonectris diomedea,Cory's Shearwater
270,900,Puffinus puffinus,Manx Shearwater
271,1880,Mycteria americana,Wood Stork
272,1280,Fregata magnificens,Magnificent Frigatebird
273,1140,Sula dactylatra,Masked Booby
274,1141,Sula nebouxii,Blue-footed Booby
275,1150,Sula leucogaster,Brown Booby
276,1170,Morus bassanus,Northern Gannet
277,1220,Phalacrocorax penicillatus,Brandt's Cormorant
278,1210,Phalacrocorax brasilianus,Neotropic Cormorant
279,1200,Phalacrocorax auritus,Double-crested Cormorant
280,1205,Phalacrocorax brasilianus / auritus,unid. Neotropic / Double-crested Cormorant
281,1190,Phalacrocorax carbo,Great Cormorant
282,1206,Phalacrocorax auritus / carbo,unid. Double-crested Cormorant / Great Cormorant
283,1230,Phalacrocorax pelagicus,Pelagic Cormorant
284,1207,Phalacrocorax sp.,unid. west coast cormorant
285,1180,Anhinga anhinga,Anhinga
286,1250,Pelecanus erythrorhynchos,American White Pelican
287,1260,Pelecanus occidentalis,Brown Pelican
288,1900,Botaurus lentiginosus,American Bittern
289,1910,Ixobrychus exilis,Least Bittern
290,1940,Ardea herodias,Great Blue Heron
291,1920,Ardea herodias occidentalis,(Great White Heron) Great Blue Heron
292,1960,Ardea alba,Great Egret
293,1961,Egretta garzetta,Little Egret
294,1970,Egretta thula,Snowy Egret
295,2000,Egretta caerulea,Little Blue Heron
296,1990,Egretta tricolor,Tricolored Heron
297,1980,Egretta rufescens,Reddish Egret
298,2001,Bubulcus ibis,Cattle Egret
299,2010,Butorides virescens,Green Heron
300,2020,Nycticorax nycticorax,Black-crowned Night-Heron
301,2030,Nyctanassa violacea,Yellow-crowned Night-Heron
302,2035,Nycticorax / Nyctanassa nycticorax / violacea,unid Black-crowned / Yellow-crowned Night-Heron
303,1945,Ardeid sp.,unid. heron / egret
304,1840,Eudocimus albus,White Ibis
305,1860,Plegadis falcinellus,Glossy Ibis
306,1870,Plegadis chihi,White-faced Ibis
307,1861,Plegadis falcinellus / chihi,unid. Glossy Ibis / White-faced Ibis
308,1830,Platalea ajaja,Roseate Spoonbill
309,3260,Coragyps atratus,Black Vulture
310,3250,Cathartes aura,Turkey Vulture
311,3255,Coragyps / Cathartes atratus / aura,unid. Black Vulture / Turkey Vulture
312,3240,Gymnogyps californianus,California Condor
313,3640,Pandion haliaetus,Osprey
314,3280,Elanus leucurus,White-tailed Kite
315,3271,Chondrohierax uncinatus,Hook-billed Kite
316,3270,Elanoides forficatus,Swallow-tailed Kite
317,3490,Aquila chrysaetos,Golden Eagle
318,3310,Circus hudsonius,Northern Harrier
319,3320,Accipiter striatus,Sharp-shinned Hawk
320,3330,Accipiter cooperii,Cooper's Hawk
321,3340,Accipiter gentilis,Northern Goshawk
322,3333,Accipiter sp.,unid. Accipiter hawk
323,3520,Haliaeetus leucocephalus,Bald Eagle
324,3290,Ictinia mississippiensis,Mississippi Kite
325,3300,Rostrhamus sociabilis,Snail Kite
326,3450,Buteogallus anthracinus,Common Black Hawk
327,3350,Parabuteo unicinctus,Harris's Hawk
328,3410,Geranoaetus albicaudatus,White-tailed Hawk
329,3460,Buteo plagiatus,Gray Hawk
330,3390,Buteo lineatus,Red-shouldered Hawk
331,3430,Buteo platypterus,Broad-winged Hawk
332,3440,Buteo brachyurus,Short-tailed Hawk
333,3420,Buteo swainsoni,Swainson's Hawk
334,3400,Buteo albonotatus,Zone-tailed Hawk
335,3370,Buteo jamaicensis,Red-tailed Hawk
336,3380,Buteo jamaicensis harlani,(Harlan's Hawk) Red-tailed Hawk
337,3470,Buteo lagopus,Rough-legged Hawk
338,3480,Buteo regalis,Ferruginous Hawk
339,3451,Buteo sp.,unid. Buteo hawk
340,3650,Tyto alba,Barn Owl
341,3740,Psiloscops flammeolus,Flammulated Owl
342,3732,Megascops kennicottii,Western Screech-Owl
343,3730,Megascops asio,Eastern Screech-Owl
344,3731,Megascops trichopsis,Whiskered Screech-Owl
345,3750,Bubo virginianus,Great Horned Owl
346,3760,Bubo scandiacus,Snowy Owl
347,3770,Surnia ulula,Northern Hawk Owl
348,3790,Glaucidium gnoma,Northern Pygmy-Owl
